,OFFENSE,BLKADDR,City,State,Latitude,Longitude
0,THEFT MISD. (UNDER $950),,Berkeley,CA,37.869058, -122.270455
1,THEFT MISD. (UNDER $950),,Berkeley,CA,37.869058, -122.270455
2,THEFT MISD. (UNDER $950),2100 BLOCK HASTE ST,Berkeley,CA,37.864908, -122.267289
3,THEFT FELONY (OVER $950),2600 BLOCK WARRING ST,Berkeley,CA,37.863934, -122.250262
4,BURGLARY AUTO,2700 BLOCK GARBER ST,Berkeley,CA,37.86066, -122.253407
5,THEFT MISD. (UNDER $950),1400 BLOCK SHATTUCK AVE,Berkeley,CA,37.881957, -122.269551
6,BURGLARY RESIDENTIAL,2020 BANCROFT WAY,Berkeley,CA,37.867426, -122.269138
7,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
8,THEFT MISD. (UNDER $950),2200 BLOCK GRANT ST,Berkeley,CA,37.868355, -122.274953
9,VEHICLE STOLEN,1215 CARRISON ST,Berkeley,CA,37.851491, -122.28563
10,ASSAULT/BATTERY MISD.,1200 BLOCK SAN PABLO AVE,Berkeley,CA,37.882033, -122.296381
11,DISTURBANCE,2300 BLOCK TELEGRAPH AVE,Berkeley,CA,37.868714, -122.259189
12,DISTURBANCE,1900 BLOCK ALLSTON WAY,Berkeley,CA,37.868785, -122.272701
13,NARCOTICS,2000 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871828, -122.270516
14,THEFT FROM AUTO,2800 BLOCK 7TH ST,Berkeley,CA,37.855076, -122.292412
15,VEHICLE STOLEN,1500 BLOCK WALNUT ST,Berkeley,CA,37.880376, -122.268183
16,VEHICLE STOLEN,2800 BLOCK SACRAMENTO ST,Berkeley,CA,37.856769, -122.27984
17,THEFT MISD. (UNDER $950),1100 BLOCK FRESNO AVE,Berkeley,CA,37.887344, -122.277321
18,FRAUD/FORGERY,3047 DOHR ST,Berkeley,CA,37.851516, -122.280088
19,ASSAULT/BATTERY FEL.,1300 BLOCK ROSE ST,Berkeley,CA,37.876897, -122.28868
20,DISTURBANCE,2000 BLOCK SHATTUCK AVE,Berkeley,CA,37.8719, -122.268389
21,THEFT FELONY (OVER $950),2000 BLOCK WOOLSEY ST,Berkeley,CA,37.852174, -122.267824
22,THEFT FELONY (OVER $950),1700 BLOCK VINE ST,Berkeley,CA,37.878642, -122.279173
23,ARSON,1700 BLOCK WALNUT ST,Berkeley,CA,37.876595, -122.267789
24,VEHICLE STOLEN,1600 BLOCK FAIRVIEW ST,Berkeley,CA,37.850001, -122.275963
25,FRAUD/FORGERY,1200 BLOCK DERBY ST,Berkeley,CA,37.857876, -122.286598
26,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
27,THEFT FROM AUTO,2500 BLOCK SACRAMENTO ST,Berkeley,CA,37.862059, -122.281167
28,DOMESTIC VIOLENCE,200 BLOCK MARINA BLVD,Berkeley,CA,37.868667, -122.313656
29,VEHICLE STOLEN,1300 BLOCK ADDISON ST,Berkeley,CA,37.868913, -122.28608
30,VEHICLE STOLEN,1700 BLOCK SAN PABLO AVE,Berkeley,CA,37.87325, -122.293558
31,THEFT FROM AUTO,1200 BLOCK MILVIA ST,Berkeley,CA,37.885691, -122.27282
32,VEHICLE STOLEN,2200 BLOCK GLEN AVE,Berkeley,CA,37.88383, -122.266309
33,THEFT MISD. (UNDER $950),1500 BLOCK MILVIA ST,Berkeley,CA,37.879689, -122.271614
34,THEFT MISD. (UNDER $950),2800 BLOCK ADELINE ST,Berkeley,CA,37.858116, -122.268002
35,THEFT MISD. (UNDER $950),800 BLOCK JONES ST,Berkeley,CA,37.875084, -122.300897
36,BURGLARY AUTO,1607 WARD ST,Berkeley,CA,37.858145, -122.277491
37,ASSAULT/BATTERY MISD.,2300 BLOCK TELEGRAPH AVE,Berkeley,CA,37.868714, -122.259189
38,ASSAULT/BATTERY MISD.,2220 4TH ST,Berkeley,CA,37.864061, -122.29877
39,THEFT MISD. (UNDER $950),2450 ASHBY AVE,Berkeley,CA,37.856488, -122.257329
40,THEFT FELONY (OVER $950),2400 BLOCK ASHBY AVE,Berkeley,CA,37.856111, -122.260248
41,THEFT FELONY (OVER $950),1718 ADDISON ST,Berkeley,CA,37.870107, -122.276593
42,VEHICLE STOLEN,800 BLOCK PERALTA AVE,Berkeley,CA,37.892804, -122.285696
43,THEFT FROM AUTO,1800 BLOCK FAIRVIEW ST,Berkeley,CA,37.850434, -122.272607
44,THEFT MISD. (UNDER $950),1400 BLOCK HARMON ST,Berkeley,CA,37.848606, -122.279588
45,VANDALISM,2300 BLOCK ELLSWORTH ST,Berkeley,CA,37.867972, -122.263699
46,THEFT MISD. (UNDER $950),2100 BLOCK SHATTUCK AVE,Berkeley,CA,37.871167, -122.268285
47,DOMESTIC VIOLENCE,1700 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870948, -122.27733
48,BURGLARY COMMERCIAL,2700 BLOCK SHATTUCK AVE,Berkeley,CA,37.859802, -122.267177
49,DISTURBANCE,1400 BLOCK UNIVERSITY AVE,Berkeley,CA,37.870054, -122.284263
50,VEHICLE STOLEN,1100 BLOCK SHATTUCK AVE,Berkeley,CA,37.887843, -122.270011
51,BURGLARY COMMERCIAL,2500 BLOCK REGENT ST,Berkeley,CA,37.865202, -122.257795
52,THEFT FROM AUTO,1200 BLOCK GILMAN ST,Berkeley,CA,37.881003, -122.293212
53,BURGLARY RESIDENTIAL,1300 BLOCK ALCATRAZ AVE,Berkeley,CA,37.847442, -122.281175
54,BURGLARY AUTO,2000 BLOCK WOOLSEY ST,Berkeley,CA,37.852174, -122.267824
55,VANDALISM,2600 BLOCK TELEGRAPH AVE,Berkeley,CA,37.862927, -122.258784
56,THEFT MISD. (UNDER $950),1800 BLOCK UNIVERSITY AVE,Berkeley,CA,37.871246, -122.274991
57,ROBBERY,2000 BLOCK MILVIA ST,Berkeley,CA,37.871461, -122.270706
58,ALCOHOL OFFENSE,2200 BLOCK SHATTUCK AVE,Berkeley,CA,37.869363, -122.268028
59,ROBBERY,2000 BLOCK SAN PABLO AVE,Berkeley,CA,37.868815, -122.292131
60,THEFT MISD. (UNDER $950),2500 BLOCK ELLSWORTH ST,Berkeley,CA,37.864535, -122.262993
61,VANDALISM,1200 BLOCK HOPKINS ST,Berkeley,CA,37.876428, -122.291736
62,VANDALISM,100 BLOCK ALVARADO RD,Berkeley,CA,37.857745, -122.23991
63,DOMESTIC VIOLENCE,1800 BLOCK WARD ST,Berkeley,CA,37.858673, -122.273365
64,BURGLARY AUTO,1200 BLOCK GILMAN ST,Berkeley,CA,37.881003, -122.293212
65,BURGLARY AUTO,400 GILMAN ST,Berkeley,CA,37.877863, -122.308855
